# iteration				N = 1 :			 N = 2 :		    N = 10 : 		 N = 100 :
          80         0.47118        0.560316        0.887396        0.937892
          81        0.146586        0.541527        0.708733        0.929462
          82        0.395728        0.616901        0.838673        0.836386
          83         1.43227        0.903261         1.01325        0.913621
          84         1.25444         1.14675          1.2136         1.16172
          85        0.471967         1.16816        0.788291         1.01414
          86          1.8871         1.07608         1.35338        0.990458
          87        0.137724         2.04419         1.34267         1.00129
          88         1.59142         1.17797        0.746859         1.02891
          89         1.84128          1.1796          0.5095        0.991172
          90       0.0618708       0.0803557        0.661106        0.929681
          91        0.644747         1.09226        0.618729         1.09336
          92        0.455625        0.296599        0.717539         1.01316
          93         1.03207         1.23026        0.884876        0.926448
          94         1.41188           1.218         0.75664         0.93746
          95        0.143835        0.156181           1.266        0.917553
          96         2.08563         1.31518         1.29686        0.887373
          97        0.218742        0.165255         0.99176        0.882199
          98         1.41495        0.773921         1.04021        0.968612
          99         2.01709         1.05263        0.615601         1.02613
         100        0.690442         1.15201        0.611311        0.773148
         101         1.45623        0.894407         1.15348         1.12425
         102      0.00757047        0.257859        0.483997         1.05935
         103         1.21542        0.782572        0.980521        0.962947
         104        0.592773        0.358753        0.539816         1.05083
         105         2.99282         1.94933         1.44469        0.991619
         106        0.204045        0.827872        0.516537         1.07391
         107        0.408955         1.57107         1.56691         1.05514
         108         2.05701          1.6353        0.866056        0.939777
         109         0.23648        0.413702        0.731717        0.992511
         110         1.77502         1.14563         1.09685        0.976802
         111         3.53499         1.77376        0.982657         1.06448
         112        0.119856        0.178364         1.12088         1.24668
         113        0.156751        0.215873        0.939171        0.955157
         114         0.77422        0.669499         1.32763         1.14959
         115         0.03781        0.170487        0.961477         0.83153
         116        0.853918        0.844929         1.02319         1.09013
         117        0.932676         0.82438        0.707786        0.867683
         118        0.242474        0.235561        0.931079        0.882312
         119         1.02863         1.01449        0.836585         1.05849
         120       0.0018193        0.980602         1.06232        0.973346
         121        0.425078        0.816222        0.792546        0.880716
         122         2.75391         2.45656         1.44482         1.01297
         123        0.204819        0.156286        0.779055        0.879448
         124        0.563822        0.623051         0.90006        0.854081
         125        0.382833        0.590313        0.936935        0.910036
         126        0.563853         1.33362        0.824451        0.971618
         127       0.0134529      0.00863767        0.554546        0.964717
         128        0.870712        0.715641         1.24925        0.928878
         129        0.346888        0.557294        0.749923        0.762487
         130         1.22857        0.723393         1.25206         1.03969
         131        0.761642        0.796014        0.700923        0.977035
         132         3.54696         2.58654         1.20213        0.957828
         133         2.74045         1.55842         0.90634         0.82144
         134         1.88089         1.13126        0.835028        0.891537
         135         1.08789         1.49336          1.4423         1.26142
         136        0.743796         1.17074        0.845204         1.00028
         137         4.23042          2.5624          1.3429         1.15181
         138        0.685349        0.822495        0.655539         1.12955
         139       0.0345878        0.869085        0.695119        0.928321
         140         2.91606         1.47319          1.4454         1.05226
         141         1.20384        0.854963         1.06516         1.01553
         142       0.0646452         1.41472         1.30674        0.977313
         143         1.78167          1.4262         1.45235        0.889175
         144          1.0002        0.688699         1.04267         1.04391
         145         0.22028        0.209401        0.806422         1.00644
         146        0.179895        0.316739        0.984029        0.852981
         147         1.14469        0.642444        0.946903         1.14898
         148        0.513971        0.311216         1.83589         1.22321
         149         1.95354          1.5538        0.986972         1.02886
         150        0.404507        0.986292        0.926992        0.909797
         151        0.644001        0.375115        0.739675        0.953662
         152          1.6483         1.10481        0.893792         1.01347
         153        0.549665        0.301688        0.692759         1.12259
         154        0.695648        0.542798         1.39453        0.977895
         155        0.756544         1.77383         1.10221         1.05496
         156        0.372185        0.751481         1.05498        0.817424
         157         2.92133         1.50765         1.42058        0.939848
         158        0.370097        0.241703        0.792614         1.07792
         159         6.99187         3.50302         1.79364        0.994114
         160       0.0933663         2.23281          1.3339         1.06736
         161        0.282606        0.223463         1.21704         1.03997
         162         1.32397         1.19608        0.555068        0.860125
         163         2.26671         2.71545         1.27023         0.91954
         164         1.39383         1.19944        0.941718         1.05718
         165      0.00234652        0.437611        0.455262        0.911216
         166       0.0830387        0.171047        0.877317        0.926322
         167          1.1284         1.68393          1.2288        0.981179
         168         1.32771        0.763531        0.814626         0.90616
         169        0.160945        0.169124        0.571169         0.89518
         170         1.88693         1.15036         1.57485        0.930397
         171         1.32453        0.866349        0.831865         1.05366
         172         1.05095         1.20418        0.973884         1.00813
         173         1.24319         0.97334        0.595862         1.05392
         174        0.717416         2.26698         1.50473         1.05266
         175         1.34263         2.10737         1.01078         1.02857
         176        0.451718        0.320245        0.604775          1.0874
         177         1.34729         1.61182         1.16884         1.09323
         178           1.242         1.07402         1.18693         1.03998
         179        0.221761         1.02112        0.905955        0.995738
         180       0.0725936        0.371943        0.575164            1.05
         181        0.648906        0.423451        0.607203          1.1617
         182         2.36057         1.46377         1.25913        0.857572
         183        0.165131        0.622686         1.14513        0.969706
         184        0.160921        0.317306        0.817059         0.96564
         185        0.547674        0.366078          1.0256        0.979891
         186         5.62366         2.96309          2.0942        0.998271
         187         0.48498        0.285587         1.27672         1.11519
         188       0.0622124       0.0651048         1.02684        0.998263
         189        0.553619         1.08143        0.653542         1.06658
         190         2.91756         1.51732        0.839135          1.0214
         191       0.0729543          1.6043        0.615853         1.02686
         192       0.0718507        0.303629         0.81035        0.928135
         193        0.651989        0.442161        0.581809        0.807948
         194         2.50581         1.27682        0.732931        0.898034
         195        0.275554         0.94567        0.787785        0.890287
         196       0.0605229        0.406261         1.34605         1.35606
         197        0.406403         0.68315         1.13023         1.00233
         198         3.31293         2.08246         1.51507        0.939373
         199         3.45317         2.58628         1.65574         1.05797
         200        0.240605        0.749952         1.27857         1.03935
         201        0.925044         1.45569        0.819326        0.978336
         202         1.46282         1.38348         1.45501         1.05846
         203         1.12267        0.642476        0.980004        0.926631
         204         1.87942         1.00082        0.961703        0.914862
         205           0.691        0.610374         1.43378         1.01528
         206        0.690819        0.639638          1.0744         1.07403
         207         0.60842        0.672571        0.785032         1.07845
         208        0.149655        0.892455         1.10878        0.971581
         209         1.86307         1.14382        0.833028        0.949782
         210        0.295784        0.288045        0.668671           0.964
         211         1.74289        0.898578         1.08487         1.02967
         212       0.0663526        0.684488         1.37789         1.11828
         213         0.73961        0.516293        0.829834         1.04112
         214        0.186652         1.00806          1.1468         0.87708
         215         1.46786        0.945418        0.853384        0.992438
         216        0.333825        0.301319        0.883328        0.966224
         217          4.8448         2.73118         1.00761         0.94716
         218         1.06543         1.14621         1.38933         1.02629
         219        0.739542        0.813982         0.78078          1.0137
         220        0.314155        0.595674         0.89813        0.874518
         221       0.0376152        0.427784         1.39732         1.02109
         222         1.88639         1.06031         1.51412        0.943695
         223         2.92876         2.51137         1.21971         1.16536
         224        0.576372        0.398558           0.958         1.04776
         225        0.486846        0.804552         1.04381        0.989868
         226         1.41082        0.905583        0.684718        0.903468
         227          2.6146         1.57406         1.03889        0.991708
         228         0.83624        0.429901        0.868572        0.945312
         229        0.435778        0.490886        0.711121        0.874522
         230        0.143611        0.529168        0.515513        0.851688
         231         1.12573         1.41739         1.39931        0.945225
         232        0.308291         0.92661         1.43177         1.04774
         233         0.17007         1.97479         1.32286         1.19353
         234        0.963562        0.639401        0.902632         1.08445
         235        0.418833        0.336053        0.722999        0.881654
         236         1.50041         1.08371        0.799328        0.991127
         237       0.0451117        0.164006         1.07984         1.02427
         238        0.150869        0.272729        0.757889        0.805631
         239         1.77019          1.0986         1.23468         1.01586
         240         2.12634         2.41517         1.46039        0.964824
         241         2.29217         1.52378         1.11622         1.11685
         242        0.144289        0.313088          0.5984        0.981029
         243        0.243342        0.271387         1.51419        0.942505
         244        0.187063        0.626059         0.63152        0.848798
         245        0.603653        0.857407         0.85439        0.991808
         246        0.870738        0.465699        0.496672         0.93486
         247         1.13167        0.570602        0.886012        0.884236
         248        0.661097        0.331867        0.986282        0.906589
         249          1.4681         0.78874        0.876694        0.916399
         250        0.496895         1.33636         1.49891         1.04666
         251        0.377249         1.10941        0.963536        0.851218
         252         1.39083         1.39542        0.869148        0.927011
         253        0.145582        0.797151        0.685256        0.890409
         254        0.180045        0.285866        0.872902         1.05297
         255         1.48978        0.830936        0.947937         1.12612
         256       0.0460132       0.0514999        0.395842        0.933615
         257       0.0176593        0.189346         0.80894         1.08797
         258         1.85617         2.45478         1.03371         1.16786
         259       0.0811666         1.63151          1.1719        0.943125
         260        0.099839       0.0585877        0.675283         1.06239
         261        0.257656        0.509126         1.52734         1.01843
         262        0.338451        0.441013        0.445999          1.0073
         263        0.764477         1.69582         1.04268         1.02937
         264       0.0496437        0.761495        0.556762         1.10968
         265         2.87898         1.87942         1.19369         1.06115
         266        0.334712        0.277736        0.846361          1.0826
         267        0.173066         1.14545        0.673008        0.934842
         268         1.37011        0.882438        0.789727         1.01948
         269         1.36638         1.27516        0.978281        0.923247
         270       0.0374525        0.697459        0.519872         0.96351
         271        0.652292         1.01427        0.977937         1.08443
         272        0.339445        0.188521        0.900595         1.02549
         273        0.344371        0.204473        0.674781         0.94605
         274        0.984744        0.543369        0.745703         1.00233
         275        0.145325        0.919441         1.40096         0.84139
         276        0.178648         3.69162         1.69358         1.02849
         277          1.6908         1.56186          1.4552         1.02632
         278        0.692736        0.730269        0.965028         1.09062
         279        0.186127        0.343553        0.759818        0.925537
         280         1.26575        0.746255        0.931443          1.1464
         281       0.0655367       0.0840142        0.372933        0.809105
         282        0.663956        0.515436         1.62374        0.997141
         283        0.521948        0.741418         1.25162         1.06491
         284        0.258115        0.831977         1.06071          1.0539
         285         1.79859         1.15662        0.706746        0.986781
         286        0.463914        0.253405         1.15711        0.999401
         287         1.69583         1.28597        0.988152        0.839822
         288        0.447281          3.0667         1.48013          1.0135
         289          1.4817         1.31783        0.994451        0.913359
         290        0.837372         1.61565        0.733723         1.05538
         291        0.313505        0.511717        0.538218        0.828531
         292        0.349601         1.07503        0.861905        0.908594
         293        0.807736        0.451742        0.864533        0.980649
         294         2.04339         1.06117           1.329         1.02517
         295        0.839649        0.473935        0.625787         1.08529
         296        0.308231        0.209813         2.12867         1.19489
         297        0.127384        0.552039        0.413445         1.07263
         298         1.98801         1.40189        0.732337        0.903694
         299        0.186054         1.09019         1.13141         1.20732
         300         1.68519         1.01568        0.714611        0.829269
         301        0.108463       0.0809352         1.14403         0.94791
         302          3.2676         1.63919          1.0328         1.06141
         303        0.656964        0.653303         1.15884         1.01796
         304        0.742772        0.644991        0.865153        0.808813
         305        0.105485        0.378465         1.24371         1.01621
         306         1.03674        0.921221         0.77596         0.76045
         307        0.151883       0.0882276        0.473993          1.0257
         308        0.679601        0.634848        0.784062        0.902848
         309         2.68912         1.67862        0.760267        0.968818
         310         2.12107         1.15766        0.901587         1.04685
         311        0.187697        0.196362        0.730183         1.05405
         312        0.419817         1.71582         0.84526        0.850828
         313        0.785145        0.593377         1.31245        0.971608
         314        0.316235         1.01345         1.29717         1.06491
         315        0.534555        0.347431         1.41041         1.08059
         316       0.0189521        0.347793        0.781597        0.896744
         317         1.18634        0.645401        0.716354        0.788634
         318         3.19969         2.16088         1.40196         1.04732
         319        0.147505        0.328384         1.12874         1.01954
         320        0.179279        0.334265        0.817586        0.971243
         321       0.0853582        0.231579        0.946753         0.89974
         322         1.55361         1.58165         1.43243         1.01853
         323        0.240329        0.175781        0.546329        0.930544
         324        0.411516        0.375929         0.95136        0.969303
         325        0.053099         1.16388        0.537322        0.977034
         326         1.46005         1.19267         1.54715         1.12594
         327         1.48938        0.906968         1.27653         0.99688
         328         1.88468          1.1561        0.960804         1.04838
         329        0.782238         1.87159         1.23671         1.09602
         330        0.429503        0.371991        0.875805         1.16059
         331          1.3099        0.917467         1.46476         1.06462
         332        0.662903        0.509082        0.575427        0.819361
         333        0.527168        0.439201        0.823022        0.969328
         334        0.793251         1.00454         1.00195        0.951428
         335       0.0627105         0.80895         1.25242         1.00752
         336         2.36402         1.34478         1.25628        0.979901
         337         1.51541        0.901254          1.3262         1.05853
         338        0.552268        0.305196         0.71102        0.844265
         339        0.319363         0.26141        0.686938        0.978289
         340         3.59435         2.39834         1.13515         1.06592
         341        0.885031        0.792384        0.973641        0.765224
         342         3.16792         1.84726          0.9379         1.17945
         343         2.58001         1.33146        0.774751        0.947788
         344         1.55419        0.783457         1.00024         1.13449
         345         2.66347         1.84685         1.70023        0.992336
         346         1.75036          1.4437         1.08255         1.01051
         347        0.928844        0.564882        0.887419        0.940167
         348         1.30971         1.18268         1.52305         1.03813
         349        0.530165        0.372617        0.811596        0.950663
         350        0.131814        0.260109         0.66002        0.941693
         351          0.3441        0.407228        0.740488        0.988273
         352         0.26199        0.135572        0.828709        0.997188
         353        0.100846         0.58251         1.34284         1.11104
         354        0.763457         1.53615         1.11489        0.945125
         355         0.59946         1.16976         1.45715          1.0625
         356        0.915169         1.13325        0.655707        0.843302
         357        0.279569        0.461761         1.02718        0.981957
         358         4.44287         2.26918        0.901894         0.87292
         359         1.67782         1.11624         1.09332        0.936047
         360         1.04196        0.657499         0.54337        0.895639
         361        0.623883        0.565507        0.991229         1.14629
         362         0.39104        0.302267        0.865457        0.866546
         363        0.214921        0.281568        0.542658        0.915031
         364        0.488652        0.671357        0.958822        0.908722
         365        0.573317         0.36316        0.735254        0.975438
         366         3.60644         2.42997         1.12067        0.997949
         367        0.320806        0.494561        0.684713          0.7981
         368        0.888978         1.13011         1.18929         1.06412
         369         1.90494         1.88029         1.41812         1.07625
         370        0.228503        0.175189         1.26823         1.12125
         371          1.3584          1.2195        0.785897        0.841804
         372        0.626327        0.709171        0.679068        0.933106
         373         1.26029        0.754002        0.765018         1.03364
         374         2.77269         1.52941        0.946482         1.18086
         375         1.13215         1.49715        0.816775        0.894775
         376         0.28413         1.15903         1.72963         1.13781
         377         1.13261         1.65687         1.35641         1.08202
         378         1.07069         1.00849         1.17439         1.11227
         379        0.890388        0.469505         1.28587         1.01565
         380         2.79923         2.13731         1.86525         1.24308
         381        0.698215         1.13916         1.01882         1.12298
         382        0.596195         1.67384        0.975035        0.898444
         383       0.0110194         1.02701          1.3653         1.02324
         384       0.0183734        0.076581        0.503377        0.983041
         385        0.469025        0.343905        0.398132        0.979527
         386          1.1426        0.694459         1.00234          1.0619
         387       0.0344387        0.922592        0.938841         1.00332
         388        0.436318        0.310368        0.525084         1.03393
         389        0.160981        0.153292        0.706655          0.9329
         390        0.435722        0.899137        0.707408         1.16816
         391         1.18274         1.08276        0.784798        0.990433
         392        0.125728        0.787039        0.776711        0.937102
         393        0.242601         1.08653         1.27113         1.04411
         394         1.02323        0.612261        0.765076        0.919152
         395        0.911945         1.67255        0.796464        0.799737
         396         3.41234         2.35352        0.883078        0.872985
         397         0.12682        0.119921        0.763057         1.00417
         398         1.05194        0.718364        0.701387          1.0254
         399         1.20918          4.0491         1.68369         1.05378
         400         0.29593         2.05316         1.22431         1.07567
         401        0.876902         1.21803         1.13918          1.0741
         402         2.54144         1.61866         1.27723         1.03494
         403        0.959895         1.93387         1.39971         1.27904
         404        0.853194         1.68361         1.14055        0.993936
         405       0.0968368         1.04551        0.938527         1.16235
         406         1.13722        0.789668         1.24128         1.03624
         407        0.467171         0.47512        0.772928        0.810809
         408        0.446191        0.976005        0.902802         1.01006
         409          1.0952         2.92214         1.28161         1.16919
         410        0.490199         1.27561         1.22723          1.1331
         411      0.00691783        0.630978        0.698466        0.918932
         412         2.15068         1.24992         1.00893         0.91459
         413           5.295         3.57387         1.16292         1.02863
         414        0.914126        0.698318        0.823891         1.02248
         415         2.24539         2.23916        0.821606        0.875491
         416         0.44127        0.612586        0.651455        0.900486
         417        0.848822        0.792898        0.894218        0.900534
         418         1.03908        0.927234        0.832053        0.961257
         419        0.243998        0.438996        0.845418        0.805301
         420        0.603937        0.427199        0.517103        0.980394
         421         3.37161         1.70615          1.6071         1.04344
         422        0.203275         1.57239        0.803008         1.17934
         423        0.619412        0.373757        0.411591         1.08474
         424      0.00928526        0.129424        0.453047        0.938099
         425         2.25519         1.31278         1.09806        0.970168
         426        0.121998        0.147937        0.793024         1.05316
         427        0.440714        0.419166        0.662693         1.09853
         428        0.194364        0.908565        0.848824         0.92663
         429        0.284828        0.568866        0.684801        0.866422
         430         2.47944         1.37629        0.934515        0.986481
         431        0.139303        0.350938        0.614017        0.986063
         432         1.63705        0.928887        0.771962        0.916832
         433         1.16814         1.25585         1.18092        0.898589
         434         2.24491         1.31338         0.98841         1.12534
         435         0.70956        0.989788         1.46637         1.05903
         436        0.394031         1.72347         1.24681         0.86383
         437       0.0131099        0.400598        0.758778        0.980411
         438        0.489865        0.301996        0.714347        0.832777
         439        0.405638        0.993366         0.91759        0.837874
         440         2.34438         2.07861         1.05666        0.863974
         441         2.15152         1.08723        0.897227        0.961582
         442          0.5892        0.480721         1.06798        0.837595
         443        0.239678         1.10171         1.16874         1.10632
         444        0.160979        0.590943        0.848549        0.960344
         445        0.120156        0.158989        0.622281         1.18505
         446      0.00221691        0.351015        0.491149        0.951732
         447       0.0951205        0.136718        0.932385         1.01361
         448        0.144054         0.62872        0.813752        0.871187
         449         0.13579        0.295731        0.653558        0.966824
         450        0.075286        0.473344        0.675193        0.990237
         451        0.152469        0.235196        0.972312        0.784087
         452       0.0223575        0.182154        0.938085        0.906709
         453         1.44129         0.87137        0.568055        0.846686
         454         4.52135         2.45903         1.28493         1.10486
         455         2.19332         1.33605        0.727924          1.0136
         456       0.0505251        0.183839        0.485467        0.822209
         457       0.0586799         1.29865         0.71487        0.936551
         458        0.235368        0.209781        0.746596        0.901539
         459          2.8134         1.61642         1.42229         1.00135
         460        0.170997        0.305734        0.597519         1.02574
         461        0.166451         1.04107         1.46513         1.12521
         462          1.2498          1.2294        0.847846        0.965125
         463        0.279876        0.639487        0.809274         1.06947
         464       0.0374734        0.750138         1.18112         1.03273
         465      0.00386831        0.377788         1.10891         1.18563
         466        0.716833        0.386274        0.923317         1.02581
         467        0.302163         1.37881        0.658363         0.98465
         468         1.97623         1.01624         1.13392          1.0073
         469          4.5564         2.46758         1.85057        0.954807
         470        0.351923        0.695891         0.86359         1.01772
         471         2.97767         1.77591         1.13803         1.16906
         472        0.656861        0.351093        0.650604         0.88396
         473        0.129259        0.207634        0.775598         1.01305
         474         1.38882        0.976478        0.796411        0.964857
         475          3.4518         3.01499         1.63345        0.991072
         476        0.438033        0.368645         1.05065         1.14745
         477          3.3883         2.15237         1.61666         1.16954
         478        0.776425        0.486331         0.64389        0.965024
         479         4.71871         2.45725         1.97723         1.16158
         480         4.15169         2.52023         1.00192        0.913452
         481         2.94912         2.04857         1.11326        0.948524
         482        0.727333         1.40553        0.970801         1.12284
         483        0.749004        0.414239        0.630458          0.8942
         484        0.150915        0.488315         1.43596         0.98794
         485        0.182619         1.01764        0.879958        0.960423
         486        0.165199        0.928475        0.939196        0.966658
         487         0.17008        0.177176        0.966841         1.14416
         488         1.00735        0.511963        0.915448         1.25868
         489        0.505945        0.295163         0.51369           1.016
         490         1.28818        0.933545        0.775822        0.966533
         491        0.841688        0.825943        0.593786        0.988139
         492          2.6484         1.67579        0.940409         1.06154
         493        0.502001        0.390572         1.04271        0.956942
         494        0.333163          0.5182        0.700068        0.924025
         495        0.373866        0.337738         1.29661        0.928614
         496         0.41534        0.351079         1.41262         1.13747
         497         0.19845        0.237768        0.962306         1.03819
         498         2.53631         1.80146        0.891525         1.11557
         499         1.02007         1.25981        0.812085        0.965028
         500        0.130838         1.71318         1.05779         1.05658
         501        0.567184         0.41492        0.522697         0.78259
         502        0.448164         1.77339        0.767395          1.0457
         503         0.45673          2.6082         1.73128         1.03676
         504        0.230108         0.34161        0.962804         1.11686
         505         1.05948        0.641624        0.834396         1.04901
         506        0.516618        0.563611          1.6197         1.03919
         507        0.132707        0.165785         0.48923        0.996632
         508         1.86054          1.5339         1.22459          1.0144
         509         0.26811         1.41724         1.02933         1.03416
         510        0.267174        0.379836        0.687385         1.03809
         511         2.44162         1.37793         1.15067         1.09709
         512         3.66854         1.88891        0.766875         0.96924
         513         0.10606        0.660473        0.967828         1.03451
         514        0.147801       0.0779839         1.08232         1.00304
         515        0.439905        0.250113          1.0064         1.07793
         516        0.758986        0.427389        0.749759        0.834406
         517       0.0464386         1.05098        0.776613        0.866917
         518        0.965759         1.10196         1.16842         1.11412
         519        0.793555        0.853348         0.84992         1.22367
         520        0.729428        0.389924         1.25981         1.07709
         521        0.582387        0.613606        0.982969         1.03443
         522        0.655332        0.630534         1.30147         1.05904
         523           2.292         1.42396         1.05757         0.95358
         524       0.0830564         2.73866          1.0467         1.00909
         525        0.592262        0.347981        0.674995        0.938428
         526         1.90459        0.994068        0.859381        0.971274
         527         2.06306         1.95281         1.64899        0.934552
         528        0.480786        0.550972         1.17505         1.13247
         529        0.463546        0.392048        0.740435         1.07971
         530         1.24946         1.06044        0.711838        0.965858
         531       0.0159461         1.33686        0.942933         1.06904
         532        0.774318          1.2171         1.25818        0.993658
         533        0.418685        0.479581        0.886394        0.959679
         534         2.82697         2.63296         1.54118         1.02908
         535        0.193421        0.466983        0.607439        0.896569
         536        0.492005         1.02059         0.82912         1.04172
         537         2.64348         1.98518         1.64663         1.18129
         538        0.462933        0.480652         0.95424         1.15735
         539        0.373969        0.973954          1.0303         1.05616
         540        0.463107         0.79528         1.29899         1.08352
         541         1.97209         1.01208        0.766186        0.958541
         542         2.74664         1.53808         1.52077         1.10257
         543         1.55791         1.33669         1.10779         1.00389
         544        0.347004         1.02141        0.945379         0.86843
         545         0.68961        0.345065        0.442572        0.889716
         546        0.480574        0.692038        0.849705        0.927052
         547        0.822874         1.22481         0.77185         1.09387
         548        0.292984         1.11284         1.08788         1.04834
         549        0.222378        0.487829        0.630098        0.826261
         550        0.881911         1.10969         1.31305        0.972951
         551        0.141233        0.183739        0.507909        0.952748
         552        0.679342        0.709334        0.897255        0.969137
         553        0.266094        0.212608        0.836734         1.11724
         554       0.0124867      0.00914508         1.05616        0.836356
         555         1.23147        0.823599         2.09386         1.07819
         556        0.596449        0.452417        0.794377         1.00252
         557        0.491821         1.32602         1.13652        0.960915
         558        0.376408        0.590161        0.768139        0.966423
         559        0.554211         1.16984         1.19972        0.923643
         560         1.57939         1.19346        0.736805          0.7873
         561         2.51984         1.50895         1.11176         1.11224
         562        0.951275         1.49102         1.34532         1.04335
         563       0.0581427        0.315054         1.03125        0.860586
         564         1.25779        0.730763        0.934102         1.06087
         565         4.74667         2.44326         1.52152         1.08838
         566        0.671447        0.559146        0.675273         1.01106
         567         0.10227        0.443645        0.405392        0.776305
         568        0.260956        0.381013          1.1565         1.23667
         569        0.298253        0.199815        0.890196        0.976617
         570        0.190348        0.139709        0.762247         0.87452
         571        0.991928         1.55801        0.971748         1.04873
         572         1.53179        0.827409        0.605895         1.01285
         573         1.31356        0.672384         0.91879        0.998394
         574      0.00981036        0.132413        0.946649        0.939571
         575         1.93788         1.40445        0.894287         1.04804
         576         2.76835         1.48579         1.05829         1.18115
         577        0.881169        0.841436        0.810442        0.853163
         578         1.11791        0.782186         1.28315         1.11456
         579         1.25071        0.853283        0.631653        0.925322
         580        0.481792          1.0969        0.792733        0.914498
         581        0.049807        0.111541        0.949153         1.06492
         582        0.205245        0.164859        0.951291         1.06113
         583        0.601297         2.52609         1.23395        0.803986
         584       0.0895377        0.162583         1.13232         0.97618
